Year,ISO3,ADM0_PT,ADM0_EN,ADM0_PCODE,ADM1_PT,ADM1_PCODE,ADM2_PT,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Montepuez,MZ0111,162641,158602,321243,31673,23874,20261,17403,13784,11772,9895,8030,6785,5698,4559,3100,1974,1561,1150,694,428,32983,24770,20231,16764,13387,10901,8597,7296,6386,5345,4222,2867,1790,1309,907,558,289,64656,48644,40492,34167,27171,22673,18492,15326,13171,11043,8781,5967,3764,2870,2057,1252,717
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Mueda,MZ0112,113958,108273,222231,20827,15447,14383,12268,8990,7559,6598,5282,4138,3479,2721,2448,2729,2636,2240,1392,821,21688,16026,15038,12382,8692,6868,5687,4751,3874,3168,2318,1877,1932,1675,1264,668,365,42515,31473,29421,24650,17682,14427,12285,10033,8012,6647,5039,4325,4661,4311,3504,2060,1186
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Muidumbe,MZ0113,51901,49350,101251,9288,6773,6590,5542,4084,3402,2923,2277,1670,1377,1037,1070,1377,1462,1416,1158,455,9672,7027,6959,5739,4252,3331,2570,2078,1652,1320,900,773,907,839,690,439,202,18960,13800,13549,11281,8336,6733,5493,4355,3322,2697,1937,1843,2284,2301,2106,1597,657
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Namuno,MZ0114,128541,122255,250796,24916,19706,15199,12211,10297,9178,8495,7119,5974,4954,3773,2433,1401,1078,821,611,375,25946,20445,16003,12173,9528,7717,6280,5522,5206,4403,3308,2161,1246,900,658,497,262,50862,40151,31202,24384,19825,16895,14775,12641,11180,9357,7081,4594,2647,1978,1479,1108,637
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Nangade,MZ0115,47049,44209,91258,8612,6501,5654,4781,3714,3173,2752,2224,1771,1534,1356,1125,1001,957,859,663,372,8968,6745,5941,4815,3448,2725,2212,1887,1653,1399,1083,852,778,670,523,322,188,17580,13246,11595,9596,7162,5898,4964,4111,3424,2933,2439,1977,1779,1627,1382,985,560
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Palma,MZ0116,69434,69535,138969,13519,10517,7548,6563,5741,5134,4571,3695,2845,2364,1973,1457,1113,952,737,430,275,14079,10912,8236,6799,5142,4376,4009,3542,3030,2567,2077,1513,1115,883,646,386,223,27598,21429,15784,13362,10883,9510,8580,7237,5875,4931,4050,2970,2228,1835,1383,816,498
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Quissanga,MZ0118,31867,30852,62719,6036,4625,3826,3207,2580,2236,1962,1601,1291,1117,1013,755,534,443,332,184,125,6285,4799,4194,3312,2322,1862,1624,1397,1160,999,896,667,465,362,260,153,95,12321,9424,8020,6519,4902,4098,3586,2998,2451,2116,1909,1422,999,805,592,337,220
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Bilene,MZ0201,91435,77199,168634,13045,12418,10671,9951,9179,7234,5674,4963,4174,3270,2563,2203,1974,1599,1191,755,571,12691,12203,10292,9618,8573,5971,4131,3558,2818,2026,1504,1161,894,726,543,337,153,25736,24621,20963,19569,17752,13205,9805,8521,6992,5296,4067,3364,2868,2325,1734,1092,724
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Chibuto,MZ0202,135730,116088,251818,18461,17687,16616,15109,12808,9885,8015,7148,6184,5052,4263,3772,3355,2762,2119,1428,1066,17960,17380,16564,15320,12923,8599,5673,4952,4421,3295,2323,1839,1550,1308,1012,643,326,36421,35067,33180,30429,25731,18484,13688,12100,10605,8347,6586,5611,4905,4070,3131,2071,1392
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Chicualacuala,MZ0203,15970,14437,30407,2251,2030,2117,1926,1734,1283,873,745,679,549,449,379,303,242,188,139,83,2190,1995,2022,1896,1841,1248,720,589,477,357,296,240,188,154,116,72,36,4441,4025,4139,3822,3575,2531,1593,1334,1156,906,745,619,491,396,304,211,119
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Chigubo,MZ0204,12265,11193,23458,1595,1533,1612,1387,1125,837,657,606,592,509,443,383,299,244,198,157,88,1552,1506,1667,1501,1357,880,495,419,400,317,251,215,190,167,136,94,46,3147,3039,3279,2888,2482,1717,1152,1025,992,826,694,598,489,411,334,251,134
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Chokwe,MZ0205,139245,117240,256485,19745,18658,16835,15575,14064,10930,8461,7385,6215,4996,4273,3606,2792,2173,1620,1127,790,19209,18335,16124,14886,12533,8512,5972,5198,4220,3172,2582,2058,1566,1245,887,477,264,38954,36993,32959,30461,26597,19442,14433,12583,10435,8168,6855,5664,4358,3418,2507,1604,1054
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Chongoene,MZ0206,75640,63756,139396,10289,9810,9125,8372,7277,5591,4330,3878,3549,2903,2327,2057,1901,1572,1196,778,685,10010,9640,9017,8367,6958,4629,3111,2712,2349,1768,1329,1072,891,747,572,355,229,20299,19450,18142,16739,14235,10220,7441,6590,5898,4671,3656,3129,2792,2319,1768,1133,914
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Cidade De Xai-Xai,MZ0207,96155,87016,183171,14578,13465,10214,10263,10975,8720,5972,5020,4181,3311,2854,2308,1555,1105,751,493,390,14182,13232,9758,10013,11472,8395,4799,3944,3133,2304,1916,1450,941,684,441,208,144,28760,26697,19972,20276,22447,17115,10771,8964,7314,5615,4770,3758,2496,1789,1192,701,534
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Guija,MZ0208,55322,45525,100847,7577,7251,7276,6448,5213,3967,3305,2963,2612,2055,1541,1304,1143,957,772,583,355,7371,7125,6904,6104,4539,2883,2096,1900,1791,1355,933,721,578,483,376,251,115,14948,14376,14180,12552,9752,6850,5401,4863,4403,3410,2474,2025,1721,1440,1148,834,470
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Limpopo,MZ0209,96035,81428,177463,13535,12938,11317,10433,9500,7454,5859,5169,4438,3553,2914,2479,2039,1641,1264,902,600,13168,12714,11129,10335,9014,6146,4128,3595,3086,2275,1636,1272,1025,823,585,303,194,26703,25652,22446,20768,18514,13600,9987,8764,7524,5828,4550,3751,3064,2464,1849,1205,794
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Mabalane,MZ0210,22165,20087,42252,3109,2906,2933,2584,2262,1706,1284,1130,1030,811,602,496,410,329,254,182,137,3025,2855,2878,2612,2337,1593,1057,910,758,559,424,329,246,200,152,100,52,6134,5761,5811,5196,4599,3299,2341,2040,1788,1370,1026,825,656,529,406,282,189
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Mandlakaze,MZ0211,84582,72398,156980,10888,10446,10490,9475,7668,5740,4467,4117,4056,3465,2894,2623,2434,2072,1658,1187,902,10592,10265,10912,9996,7530,4798,3340,3008,2846,2216,1641,1351,1160,1011,822,575,335,21480,20711,21402,19471,15198,10538,7807,7125,6902,5681,4535,3974,3594,3083,2480,1762,1237
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Mapai,MZ0212,16571,14990,31561,2302,2107,2113,1895,1752,1312,906,781,714,589,497,430,350,292,241,193,97,2240,2070,2066,1929,1891,1291,753,621,506,384,326,267,207,173,135,91,40,4542,4177,4179,3824,3643,2603,1659,1402,1220,973,823,697,557,465,376,284,137
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Massangena,MZ0213,12975,12013,24988,1788,1700,1594,1460,1287,979,720,656,673,533,348,288,269,235,199,160,86,1739,1671,1550,1484,1491,1064,665,578,526,381,245,176,125,107,96,87,28,3527,3371,3144,2944,2778,2043,1385,1234,1199,914,593,464,394,342,295,247,114
2024,MOZ,Mo̤ambique,Mozambique,MZ,Gaza,MZ02,Massingir,MZ0214,20884,19274,40158,3023,2695,2732,2454,2367,1773,1182,978,835,650,507,441,410,335,249,153,100,2941,2649,2609,2406,2418,1721,1115,927,675,477,386,301,222,177,131,80,39,5964,5344,5341,4860,4785,3494,2297,1905,1510,1127,893,742,632,512,380,233,139
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Cidade De Inhambane,MZ0301,53204,49041,102245,8591,7572,5545,5519,5950,4734,3399,2836,2143,1720,1532,1215,840,626,451,310,221,8713,7709,5336,5291,5843,4414,2719,2315,1680,1315,1245,944,584,406,266,163,98,17304,15281,10881,10810,11793,9148,6118,5151,3823,3035,2777,2159,1424,1032,717,473,319
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Funhalouro,MZ0302,25901,22710,48611,3563,3377,3184,2813,2143,1650,1530,1442,1309,1120,917,770,661,543,416,279,184,3613,3438,3233,2876,2267,1499,1017,936,854,712,595,478,376,308,242,173,93,7176,6815,6417,5689,4410,3149,2547,2378,2163,1832,1512,1248,1037,851,658,452,277
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Govuro,MZ0303,21603,19204,40807,3262,2847,2508,2331,2320,1756,1179,1030,979,832,672,548,443,353,264,174,105,3309,2898,2533,2337,2207,1499,840,726,645,534,465,373,290,226,161,97,64,6571,5745,5041,4668,4527,3255,2019,1756,1624,1366,1137,921,733,579,425,271,169
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Homoine,MZ0304,69037,59862,128899,9548,8632,8387,7620,6244,4681,3784,3440,3080,2727,2498,2201,1928,1609,1248,837,573,9684,8787,8843,7969,5926,3765,2511,2308,2171,1816,1473,1223,1085,904,688,441,268,19232,17419,17230,15589,12170,8446,6295,5748,5251,4543,3971,3424,3013,2513,1936,1278,841
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Inharrime,MZ0305,67779,58558,126337,9826,8679,8373,7645,6676,4996,3779,3335,2921,2517,2247,1893,1509,1232,966,702,483,9965,8836,8836,7897,5887,3684,2387,2164,2027,1677,1341,1085,928,749,546,327,222,19791,17515,17209,15542,12563,8680,6166,5499,4948,4194,3588,2978,2437,1981,1512,1029,705
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Inhassoro,MZ0306,33974,30730,64704,5043,4463,3923,3643,3515,2666,1850,1651,1614,1371,1062,872,746,607,461,304,183,5115,4543,3894,3617,3569,2453,1312,1170,1182,988,778,618,511,404,289,170,117,10158,9006,7817,7260,7084,5119,3162,2821,2796,2359,1840,1490,1257,1011,750,474,300
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Jangamo,MZ0307,62912,54319,117231,8891,7877,7668,6985,6055,4504,3360,3010,2764,2454,2261,1940,1559,1292,1036,777,479,9017,8019,8219,7367,5410,3396,2285,2043,1753,1476,1350,1123,907,746,575,392,241,17908,15896,15887,14352,11465,7900,5645,5053,4517,3930,3611,3063,2466,2038,1611,1169,720
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Mabote,MZ0308,30494,25740,56234,4219,3813,3630,3274,2857,2123,1536,1450,1562,1388,1124,934,762,635,514,392,281,4279,3882,3716,3333,2783,1774,999,885,859,739,656,537,423,340,254,166,115,8498,7695,7346,6607,5640,3897,2535,2335,2421,2127,1780,1471,1185,975,768,558,396
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Massinga,MZ0309,148563,129210,277773,21662,19919,16940,15777,13960,10877,8823,8003,7133,6022,4933,4068,3343,2706,2068,1413,916,21970,20279,17125,15690,12511,8505,5882,5486,5108,4210,3342,2619,2046,1664,1294,923,556,43632,40198,34065,31467,26471,19382,14705,13489,12241,10232,8275,6687,5389,4370,3362,2336,1472
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Maxixe,MZ0310,83599,75227,158826,13098,11564,8868,8708,9086,7140,5068,4312,3537,2919,2523,2052,1557,1223,921,644,379,13284,11772,8637,8403,8857,6536,3984,3403,2579,2012,1776,1363,944,701,489,307,180,26382,23336,17505,17111,17943,13676,9052,7715,6116,4931,4299,3415,2501,1924,1410,951,559
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Morrumbene,MZ0311,83127,72938,156065,11796,10772,9691,8885,7650,5874,4763,4316,3819,3297,2859,2478,2197,1826,1403,919,582,11963,10967,10102,9185,7335,4890,3269,2989,2718,2236,1797,1455,1221,1028,819,588,376,23759,21739,19793,18070,14985,10764,8032,7305,6537,5533,4656,3933,3418,2854,2222,1507,958
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Panda,MZ0312,25970,22026,47996,3308,3066,3241,2864,2070,1513,1322,1268,1240,1140,1046,954,897,765,598,390,288,3355,3121,3374,2982,2037,1232,847,809,826,724,617,533,490,415,320,205,139,6663,6187,6615,5846,4107,2745,2169,2077,2066,1864,1663,1487,1387,1180,918,595,427
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Vilankulo,MZ0313,93118,83612,176730,13701,12422,10569,9902,9079,7025,5405,4858,4415,3712,2952,2436,2060,1692,1313,912,665,13895,12646,10745,9996,8994,6252,3904,3528,3220,2639,2131,1665,1274,1024,789,559,351,27596,25068,21314,19898,18073,13277,9309,8386,7635,6351,5083,4101,3334,2716,2102,1471,1016
2024,MOZ,Mo̤ambique,Mozambique,MZ,Inhambane,MZ03,Zavala,MZ0314,91085,78585,169670,12682,11280,11321,10347,8558,6296,4758,4345,4180,3721,3306,2829,2356,1903,1423,910,870,12863,11483,11851,10679,7894,4908,3132,2871,2791,2370,1969,1627,1411,1131,804,448,353,25545,22763,23172,21026,16452,11204,7890,7216,6971,6091,5275,4456,3767,3034,2227,1358,1223
2024,MOZ,Mo̤ambique,Mozambique,MZ,Manica,MZ04,Barue,MZ0401,127591,118949,246540,22025,20158,18052,14745,12064,9886,8089,5928,4083,2991,2304,1904,1721,1468,1133,677,363,21973,20125,17663,14255,11452,8635,6530,5073,3884,2839,1976,1413,1062,839,625,400,205,43998,40283,35715,29000,23516,18521,14619,11001,7967,5830,4280,3317,2783,2307,1758,1077,568
2024,MOZ,Mo̤ambique,Mozambique,MZ,Manica,MZ04,Cidade De Chimoio,MZ0402,267328,264777,532105,49379,44029,34261,30391,28408,23692,17090,11884,8099,5738,4390,3283,2348,1797,1268,726,545,49263,43956,33357,29628,28688,22938,16333,12203,8291,5970,4902,3556,2358,1675,1029,371,259,98642,87985,67618,60019,57096,46630,33423,24087,16390,11708,9292,6839,4706,3472,2297,1097,804
2024,MOZ,Mo̤ambique,Mozambique,MZ,Manica,MZ04,Gondola,MZ0403,131706,127559,259265,22211,20438,18924,15580,12192,9816,7791,5912,4793,3744,2901,2263,1696,1357,1016,647,425,22159,20404,18973,15762,12684,9425,6603,5124,4230,3328,2690,2057,1531,1174,802,379,234,44370,40842,37897,31342,24876,19241,14394,11036,9023,7072,5591,4320,3227,2531,1818,1026,659
2024,MOZ,Mo̤ambique,Mozambique,MZ,Manica,MZ04,Guro,MZ0404,64596,59714,124310,10691,9943,9569,7599,5734,4608,3908,2994,2317,1786,1352,1115,1000,836,619,326,199,10666,9927,9811,7851,6110,4372,2934,2172,1714,1247,849,604,455,369,292,216,125,21357,19870,19380,15450,11844,8980,6842,5166,4031,3033,2201,1719,1455,1205,911,542,324
2024,MOZ,Mo̤ambique,Mozambique,MZ,Manica,MZ04,Macate,MZ0405,55331,54495,109826,8957,8446,8262,6587,4710,3756,3282,2591,2125,1694,1346,1067,807,658,508,346,189,8935,8432,8664,7025,5142,3720,2734,2206,1972,1582,1225,933,709,549,378,182,107,17892,16878,16926,13612,9852,7476,6016,4797,4097,3276,2571,2000,1516,1207,886,528,296
2024,MOZ,Mo̤ambique,Mozambique,MZ,Manica,MZ04,Machaze,MZ0406,95922,76313,172235,15405,15371,12501,10069,7627,6411,6003,4971,4299,3407,2450,1910,1477,1304,1172,1065,480,15369,15345,11976,9077,5574,3768,3126,2633,2472,1961,1351,1007,789,672,566,460,167,30774,30716,24477,19146,13201,10179,9129,7604,6771,5368,3801,2917,2266,1976,1738,1525,647
2024,MOZ,Mo̤ambique,Mozambique,MZ,Manica,MZ04,Macossa,MZ0407,29747,27379,57126,5092,4573,4468,3511,2878,2304,1765,1283,968,716,499,420,434,367,262,104,103,5080,4566,4444,3427,2632,1880,1301,1005,878,653,397,291,269,222,165,89,80,10172,9139,8912,6938,5510,4184,3066,2288,1846,1369,896,711,703,589,427,193,183
2024,MOZ,Mo̤ambique,Mozambique,MZ,Manica,MZ04,Manica,MZ0408,147833,146171,294004,26401,24222,19595,16386,14614,12221,9642,6981,4757,3481,2848,2166,1457,1141,880,660,381,26338,24182,20057,16709,14440,11389,8947,6958,4915,3596,2838,2058,1393,1037,715,399,200,52739,48404,39652,33095,29054,23610,18589,13939,9672,7077,5686,4224,2850,2178,1595,1059,581
2024,MOZ,Mo̤ambique,Mozambique,MZ,Manica,MZ04,Mossurize,MZ0409,157421,132606,290027,27624,27084,17805,15043,14258,12544,10845,8415,6317,4763,3559,2730,2052,1665,1293,906,518,27559,27039,17411,13498,10314,7855,6520,5452,4756,3655,2450,1767,1355,1118,904,689,264,55183,54123,35216,28541,24572,20399,17365,13867,11073,8418,6009,4497,3407,2783,2197,1595,782
2024,MOZ,Mo̤ambique,Mozambique,MZ,Manica,MZ04,Sussundenga,MZ0410,116218,107887,224105,20156,18693,15795,12917,11052,9141,7257,5429,4170,3136,2295,1789,1452,1185,889,535,327,20108,18662,15802,12597,10024,7485,5541,4408,3735,2854,2012,1458,1083,857,643,421,197,40264,37355,31597,25514,21076,16626,12798,9837,7905,5990,4307,3247,2535,2042,1532,956,524
2024,MOZ,Mo̤ambique,Mozambique,MZ,Manica,MZ04,Tambara,MZ0411,35093,31513,66606,5813,5359,5180,4061,3161,2543,2111,1591,1197,911,667,596,653,567,416,178,89,5800,5350,5274,4058,3010,2094,1400,1070,949,729,509,371,277,229,188,149,56,11613,10709,10454,8119,6171,4637,3511,2661,2146,1640,1176,967,930,796,604,327,145
2024,MOZ,Mo̤ambique,Mozambique,MZ,Manica,MZ04,Vanduzi,MZ0412,77462,74890,152352,13291,12084,11162,9106,7387,5978,4697,3460,2579,1957,1529,1235,1036,841,604,303,213,13259,12064,11240,9114,7165,5406,4206,3260,2349,1765,1432,1131,938,739,501,199,122,26550,24148,22402,18220,14552,11384,8903,6720,4928,3722,2961,2366,1974,1580,1105,502,335
2024,MOZ,Mo̤ambique,Mozambique,MZ,Maputo,MZ05,Boane,MZ0501,133470,130138,263608,13927,16286,16703,14725,13981,12548,10468,9082,7278,5121,3729,2947,2390,1774,1239,770,502,14362,16646,17227,14883,14004,11767,9852,8836,6910,4753,3391,2593,1978,1364,858,464,250,28289,32932,33930,29608,27985,24315,20320,17918,14188,9874,7120,5540,4368,3138,2097,1234,752
2024,MOZ,Mo̤ambique,Mozambique,MZ,Maputo,MZ05,Cidade Da Matola,MZ0502,691424,658380,1349804,72208,85932,86755,78174,70521,63661,54971,48797,41553,29320,19737,14415,9948,6652,4243,2617,1920,74462,87831,86019,75634,69785,57918,46914,42843,37335,26756,18739,13768,8981,5597,3184,1696,918,146670,173763,172774,153808,140306,121579,101885,91640,78888,56076,38476,28183,18929,12249,7427,4313,2838
2024,MOZ,Mo̤ambique,Mozambique,MZ,Maputo,MZ05,Magude,MZ0503,37864,33787,71651,3360,3906,5514,4502,3476,2897,2343,2128,2102,1687,1325,1166,1089,902,711,510,246,3465,3992,5820,4612,3347,2488,1960,1781,1646,1216,837,692,649,517,387,265,113,6825,7898,11334,9114,6823,5385,4303,3909,3748,2903,2162,1858,1738,1419,1098,775,359
2024,MOZ,Mo̤ambique,Mozambique,MZ,Maputo,MZ05,Manhi̤a,MZ0504,127849,114423,242272,11625,13584,18483,15371,11918,10013,8159,7442,7439,5845,4313,3636,3249,2600,1978,1364,830,11988,13884,19691,15833,11380,8451,6656,6054,5631,4137,2798,2248,2003,1540,1108,719,302,23613,27468,38174,31204,23298,18464,14815,13496,13070,9982,7111,5884,5252,4140,3086,2083,1132
2024,MOZ,Mo̤ambique,Mozambique,MZ,Maputo,MZ05,Marracuene,MZ0505,143417,134196,277613,15056,18370,18606,16062,13686,12731,12527,11083,8091,5299,3528,2611,2024,1481,1058,734,470,15526,18776,18930,15557,12020,10397,10620,9946,7861,5210,3104,2164,1625,1098,696,417,249,30582,37146,37536,31619,25706,23128,23147,21029,15952,10509,6632,4775,3649,2579,1754,1151,719
2024,MOZ,Mo̤ambique,Mozambique,MZ,Maputo,MZ05,Matutuine,MZ0506,26244,26340,52584,2464,2856,3342,2869,2587,2227,1696,1518,1482,1197,983,850,739,576,419,264,175,2541,2919,3768,3217,2883,2269,1646,1480,1368,1049,812,695,642,486,324,164,77,5005,5775,7110,6086,5470,4496,3342,2998,2850,2246,1795,1545,1381,1062,743,428,252
2024,MOZ,Mo̤ambique,Mozambique,MZ,Maputo,MZ05,Moamba,MZ0507,55066,52079,107145,5219,6041,6968,5999,5474,4731,3618,3217,3056,2458,2060,1785,1549,1195,847,504,345,5382,6175,7446,6250,5463,4361,3404,3056,2596,1927,1493,1275,1178,908,633,363,169,10601,12216,14414,12249,10937,9092,7022,6273,5652,4385,3553,3060,2727,2103,1480,867,514
2024,MOZ,Mo̤ambique,Mozambique,MZ,Maputo,MZ05,Namaacha,MZ0508,28776,28158,56934,2602,3064,4032,3405,2647,2238,1832,1683,1673,1376,1166,986,784,573,381,207,127,2683,3132,4380,3671,2899,2206,1638,1497,1435,1138,927,793,694,511,328,153,73,5285,6196,8412,7076,5546,4444,3470,3180,3108,2514,2093,1779,1478,1084,709,360,200
