ADM3_PT,ADM3_PCODE,ADM3_REF,ADM3ALT1_PT,ADM3ALT2_PT,ADM2_PT,ADM2_PCODE,ADM1_PT,ADM1_PCODE,ADM0_EN,ADM0_PT,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Nalazi,MZ020804,,,,Guija,MZ0208,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2215.28466796875
Namaacha,MZ050802,,,,Namaacha,MZ0508,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1372.93103027344
Namacurra,MZ112002,,,,Namacurra,MZ1120,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1375.63781738281
Namaita,MZ072203,,,,Rapale,MZ0722,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,821.766906738281
Namanhumbir,MZ011105,,,,Montepuez,MZ0111,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,653.876525878906
Namanjavira,MZ111403,,,,Mocuba,MZ1114,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3015.72192382813
Namapa,MZ070302,,,,Erati,MZ0703,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2259.36279296875
Namaponda,MZ070104,,,,Angoche,MZ0701,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,740.189514160156
Namarroi,MZ112101,,,,Namarroi,MZ1121,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1373.35754394531
Nametil,MZ071304,,,,Mogovolas,MZ0713,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,911.458862304688
Namialo,MZ070904,,,,Meconta,MZ0709,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,347.8349609375
Namige,MZ071201,,,,Mogincual,MZ0712,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,847.602111816406
Namina,MZ071004,,,,Mecuburi,MZ0710,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,775.724487304688
Namiroa,MZ070303,,,,Erati,MZ0703,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1528.18981933594
Namogelia,MZ010305,,,,Chiure,MZ0103,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,711.598876953125
Namuno,MZ011405,,,,Namuno,MZ0114,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1239.0947265625
Nangade,MZ011502,,,,Nangade,MZ0115,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1939.90087890625
Nanhupo Rio,MZ071305,,,,Mogovolas,MZ0713,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,718.925354003906
Nante,MZ111102,,,,Maganja Da Costa,MZ1111,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1324.8359375
Nauela,MZ110102,,,,Alto Molocue,MZ1101,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2601.1591796875
Ndelane,MZ050604,,,,Matutuine,MZ0506,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,161.982543945313
Negomano,MZ011205,,,,Mueda,MZ0112,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3023.24267578125
Netia,MZ071503,,,,Monapo,MZ0715,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1039.62707519531
Nguawala,MZ040702,,,,Macossa,MZ0407,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2258.53833007813
Nguzene,MZ020603,,,,Chongoene,MZ0206,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,433.759094238281
Nhacafula,MZ041102,,,,Tambara,MZ0411,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1267.62670898438
Nhacolo,MZ041103,,,,Tambara,MZ0411,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1036.60363769531
Nhamadze,MZ090802,,,,Gorongosa,MZ0908,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2025.21362304688
Nhamagua,MZ040703,,,,Macossa,MZ0407,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1696.62951660156
Nhamassonge,MZ040404,,,,Guro,MZ0404,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1405.80554199219
Nhamatanda,MZ091301,,,,Nhamatanda,MZ0913,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2467.09375
Nhamayabue,MZ101303,,,,Mutarara,MZ1013,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1330.78063964844
Nhampassa,MZ040103,,,,Barue,MZ0401,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1986.44055175781
Nicoadala,MZ112201,,,,Nicoadala,MZ1122,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2763.43627929688
Nihessiue,MZ071803,,,,Murrupula,MZ0718,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,563.571594238281
Nipepe,MZ081802,,,,Nipepe,MZ0818,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3943.22509765625
Nova Mambone,MZ030301,,,,Govuro,MZ0303,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1681.79895019531
Nsadzu,MZ100403,,,,Chifunde,MZ1004,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2585.29296875
Ntengo-Wa-Mbalame,MZ101401,,,,Tsangano,MZ1014,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1368.40856933594
Ntlavene,MZ021003,,,,Mabalane,MZ0210,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1747.95300292969
Nungo,MZ081003,,,,Marrupa,MZ0810,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3265.01416015625
Ocua,MZ010306,,,,Chiure,MZ0103,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1048.47839355469
Olumbi,MZ011601,,,,Palma,MZ0116,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1232.23693847656
Pafuri,MZ020301,,,,Chicualacuala,MZ0203,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,7060.86474609375
Palma,MZ011602,,,,Palma,MZ0116,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,898.663024902344
Palmeira,MZ050405,,,,Manhiça,MZ0504,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,566.284118652344
Panda,MZ031202,,,,Panda,MZ0312,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2775.009765625
Panjane,MZ050305,,,,Magude,MZ0503,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,662.955017089844
Papai,MZ011406,,,,Namuno,MZ0114,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,922.536560058594
Pebane,MZ112303,,,,Pebane,MZ1123,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1470.81665039063
Pembe,MZ030402,,,,Homoine,MZ0304,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,879.627319335938
Pessene,MZ050702,,,,Moamba,MZ0507,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,546.315979003906
Praia De Bilene,MZ020105,,,,Bilene,MZ0201,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,291.136962890625
Pundanhar,MZ011603,,,,Palma,MZ0116,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,784.672607421875
Quinga,MZ070702,,,,Liúpo,MZ0707,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,758.10107421875
Quionga,MZ011604,,,,Palma,MZ0116,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,606.919372558594
Quirimba,MZ010502,,,,Ibo,MZ0105,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,15.51979637146
Quissanga,MZ011803,,,,Quissanga,MZ0118,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,455.298461914063
Quissico,MZ031401,,,,Zavala,MZ0314,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1054.92883300781
Quiterajo,MZ010604,,,,Macomia,MZ0106,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,642.380493164063
Quixaxe,MZ071202,,,,Mogincual,MZ0712,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1435.47436523438
Rapale,MZ072204,,,,Rapale,MZ0722,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,712.909240722656
Regone,MZ112102,,,,Namarroi,MZ1121,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1687.44604492188
Ressano Garcia,MZ050703,,,,Moamba,MZ0507,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,185.780883789063
Ribaue,MZ072303,,,,Ribaue,MZ0723,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2201.48950195313
Rotanda,MZ041003,,,,Sussundenga,MZ0410,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1694.95703125
Sabie,MZ050704,,,,Moamba,MZ0507,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2379.7041015625
Saua-Saua,MZ072103,,,,Nacaroa,MZ0721,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1095.0576171875
Save,MZ030302,,,,Govuro,MZ0303,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2285.00048828125
Save,MZ040602,,,,Machaze,MZ0406,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5035.14013671875
Sena,MZ090203,,,,Caia,MZ0902,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,887.953857421875
Socone,MZ110702,,,,Ile,MZ1107,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,862.890930175781
Sofala,MZ090103,,,,Buzi,MZ0901,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2333.4072265625
Songo,MZ100203,,,,Cahora Bassa,MZ1002,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,594.932983398438
Subwe,MZ091003,,,,Maringue,MZ0910,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2242.11083984375
Sussundenga,MZ041004,,,,Sussundenga,MZ0410,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1286.54187011719
Tacuane,MZ111004,,,,Lugela,MZ1110,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1316.8603515625
Tica,MZ091302,,,,Nhamatanda,MZ0913,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1548.61987304688
Tome,MZ030202,,,,Funhalouro,MZ0302,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4824.3583984375
Tsangano,MZ101402,,,,Tsangano,MZ1014,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2293.66674804688
Ulongue,MZ100102,,,,Angonia,MZ1001,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1139.35546875
Unango,MZ081904,,,,Sanga,MZ0819,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2025.00549316406
Urrene,MZ031203,,,,Panda,MZ0312,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1297.19958496094
Vanduzi,MZ041202,,,,Vanduzi,MZ0412,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1852.62524414063
Vanduzi,MZ090803,,,,Gorongosa,MZ0908,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1756.64331054688
Vila Eduardo Mondlane,MZ020302,,,,Chicualacuala,MZ0203,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4330.9130859375
Vilankulo,MZ031302,,,,Vilankulo,MZ0313,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1806.07287597656
Xhalala,MZ021105,,,,Mandlakaze,MZ0211,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,171.51286315918
Xilembene,MZ020504,,,,Chokwe,MZ0205,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,441.47265625
Xinavane,MZ050406,,,,Manhiça,MZ0504,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,155.383682250977
Zambue,MZ101502,,,,Zumbu,MZ1015,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3766.39770507813
Zandamela,MZ031402,,,,Zavala,MZ0314,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,956.196533203125
Zembe,MZ040502,,,,Macate,MZ0405,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,346.586608886719
Zimane,MZ030802,,,,Mabote,MZ0308,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5635.25830078125
Zinave,MZ030803,,,,Mabote,MZ0308,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4762.3427734375
Zitundo,MZ050605,,,,Matutuine,MZ0506,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,864.711364746094
Zobue,MZ101203,,,,Moatize,MZ1012,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2744.05493164063
Zongoene,MZ020903,,,,Limpopo,MZ0209,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,555.523376464844
Zulo,MZ021403,,,,Massingir,MZ0214,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,936.561767578125
Zumbu,MZ101503,,,,Zumbu,MZ1015,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4908.6259765625
