ADM3_PT,ADM3_PCODE,ADM3_REF,ADM3ALT1_PT,ADM3ALT2_PT,ADM2_PT,ADM2_PCODE,ADM1_PT,ADM1_PCODE,ADM0_EN,ADM0_PT,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Itoculo,MZ071501,,,,Monapo,MZ0715,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1242.73376464844
Iuluti,MZ071302,,,,Mogovolas,MZ0713,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1390.45202636719
Jangamo,MZ030702,,,,Jangamo,MZ0307,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,665.635498046875
Kambulatsisi,MZ101201,,,,Moatize,MZ1012,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1858.4287109375
Katapua,MZ010303,,,,Chiure,MZ0103,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1675.22131347656
Kazula,MZ100501,,,,Chiuta,MZ1005,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3012.3466796875
Kuekue,MZ010203,,,,Balama,MZ0102,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2470.26147460938
Lago Niassa,MZ080701,,,,Lago Niassa,MZ0807,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,6932.97900390625
Lalaua,MZ070501,,,,Lalaua,MZ0705,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2871.22265625
Larde,MZ070601,,,,Larde,MZ0706,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,734.887023925781
Lioma,MZ110602,,,,Gurue,MZ1106,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2911.74462890625
Lionde,MZ020502,,,,Chokwe,MZ0205,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,928.268798828125
Lione,MZ080102,,,,Chimbonila,MZ0801,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,874.467041015625
Liúpo,MZ070701,Liupo,,,Liúpo,MZ0707,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1363.10668945313
Luabo,MZ110901,,,,Luabo,MZ1109,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1119.50500488281
Luenha,MZ100302,,,,Changara,MZ1003,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2247.3818359375
Lugela,MZ111001,,,,Lugela,MZ1110,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,952.332885742188
Lumbo,MZ070402,,,,Ilha De Moçambique,MZ0704,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,130.908447265625
