"ADM3_PT","ADM3_PCODE","T_TL","log_population","district_area","Water","Trees","Flooded.vegetation","Crops","Built.Area","Bare.ground","Snow.Ice","Clouds","Rangeland","SR_B1","SR_B2","SR_B3","SR_B4","SR_B5","SR_B6","SR_B7","ST_B10","ST_ATRAN","ST_DRAD","ST_TRAD","ST_URAD","ST_EMIS","ST_EMSD","NDVI","NDWI","NDBI","osm_traffic","osm_transport","osm_places","osm_pofw","osm_pois","osm_railways","osm_roads","building_count","building_area","DNB","ADM3_REF","ADM3ALT1_PT","ADM3ALT2_PT","ADM2_PT","ADM2_PCODE","ADM1_PT","ADM1_PCODE","ADM0_EN","ADM0_PT","ADM0_PCODE","DATE","VALIDON","VALIDTO","AREA_SQKM","predicted_density","weight","predicted_population"
"Maquival","MZ111201",35408.31,10.4747300588952,617.561655098893,0.0579023415404466,0.087391853183522,0.141042400483279,0.0301642149699154,0.0611524210717475,0.00221540517663542,0,0,0.620131363574454,2229.75698209161,2432.07681208907,3311.48082821752,3298.72385048494,2289.77039630935,1504.52124959134,5309.69015365614,5993.3264874618,989.913343776393,1093.50499606581,-2741.32616852789,2294.87455767384,125.203640323238,13.1900188608744,3.23036668784809,2.09344973536961,1.86244630063748,0.00161927152008793,0.00161927152008793,0,0,0.0291468873615827,0,0.717185388540553,33.1578229168405,0.00151034364374621,0.97713717693837,"",NA,NA,"Maquival","MZ1112","Zambezia","MZ11","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,617.401123046875,106.74293380974,1,NA
"Marangira","MZ081001",6187.5117,8.73044990058183,6766.49998277025,0.00604191175587584,0.643404754165204,0.000103719585461077,0.000990188053811571,5.50234970004413e-05,0.00116804548875297,0,0,0.348236357453894,318.740868584785,695.467547845146,963.035219653532,568.561258439595,991.050930192132,752.959827664928,462.642388643979,950.853031320388,-76.149069002011,83.0659992591546,118.899913750625,-234.45303768292,77.8155310973132,47.4654059777573,2.99306537102474,2.01807451011448,1.92096303137715,0,0.000295573783358112,0,0,0.000443360675037168,0,0.0722845100339936,0.375822065539839,1.61787448427925e-05,0.270703365899575,"",NA,NA,"Marrupa","MZ0810","Niassa","MZ08","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,6768.59521484375,5.55713980038846,0.252122477268016,24992.9011715784
"Marara","MZ101001",75504.14,11.23195601239,2713.71798546711,0.0069177746353155,0.250880630315402,0.000102724152814651,0.0981517907112785,0.00414580005880958,2.62313461651698e-05,0,0,0.639775048780215,1060.15964096926,493.280834530627,1772.30349564815,602.489111484352,1136.75680793609,770.729276699651,1386.74812693787,844.911726207362,415.869745392954,-725.217765109767,-83.7342991951891,594.708881111973,113.405335757297,85.388593164004,3.03557123784093,1.89472684160464,1.40863787740446,0.00221098877338473,0,0.00110549438669237,0,0.00110549438669237,0,1.00422862028746,8.09848337877937,0.000238937961303444,2.61932429361412,"",NA,NA,"Marara","MZ1010","Tete","MZ10","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,2715.853515625,35.1240173906493,1,91709
"Maringue","MZ091002",54734.64,10.9102703301715,2223.11851206113,1.33229471166473e-05,0.483230020681969,0,0.00059684111578112,0.00169439177942762,1.39061064180494e-06,0,0,0.514464032865064,2005.92075943035,1134.05697912615,1088.86813434549,962.049605686525,1634.75853913149,641.124109970261,2288.42771373759,2781.74326711533,256.299336197639,354.673923004096,692.954428239227,1.21583410434073,821.285075038609,6.30611781873684,0,1.74256017525158,1.17367669182438,0,0,0.00854655291515902,0,0.000899637148964107,0,0.0908555790808051,5.33079992618682,0.000143554171029828,0.943762031350261,"",NA,NA,"Maringue","MZ0910","Sofala","MZ09","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,2223.52905273438,14.9579900760084,0.362498047734932,39959.2472959647
"Marracuene","MZ050502",257903.64,12.4603451831772,464.764361615148,0.0461435138889565,0.160022011111843,0.0385063186669515,0.0241722066732457,0.312446631628714,0.00192247879503772,0,0,0.416786839235252,8955.1674993897,9369.56417121003,10539.9336520465,10872.0204410448,17058.8376027342,17132.2660956953,14554.3283546261,18247.2439507072,-1300.21193264117,1534.0549027236,3177.70100315745,3398.46851586191,937.930614013496,30.5136857694444,2.97917366476318,1.59521326737464,1.31118734130387,0.370080010873178,0.486267921263595,0.0150613957913503,0.0064548839105787,0.413112570277036,0.0620356142417228,4.91105321826677,338.044422024976,0.0212729582424113,4.28964210526316,"",NA,NA,"Marracuene","MZ0505","Maputo","MZ05","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,465.120391845703,949.964500728561,0.961451935318106,270916.964882001
"Marromeu","MZ091102",157988.06,11.9702810691055,3757.77637172142,0.00691037659322682,0.344815577993103,0.00979759362587001,0.0386196110879593,0.00350442808770013,0.00115663885507283,0,0,0.595195773757068,4440.90663357595,4628.93682652138,5269.41313687067,5269.66290645592,5505.98111783453,6469.25812911839,4112.58500258409,1464.75782242679,-600.539818309187,589.914146067724,197.733472390364,-75.3036285394682,-539.522325429451,81.987469259793,2.97756874095514,1.97607222113193,1.61622833419824,0.000798344473762741,0.00106445929835032,0.00026611482458758,0,0.00212891859670064,0.00742923395364642,0.113173866115925,5.43459694772757,0.000273493800757814,0.229205075371435,"",NA,NA,"Marromeu","MZ0911","Sofala","MZ09","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,3752.326171875,24.7382183486181,0.682901421668146,127705.980359052
"Marrupa","MZ081002",86866.66,11.372141090089,7422.40679643125,0.00204058692235999,0.686028308381911,0.000288946145854315,0.00645963983179693,0.000900801438609102,2.53953962958275e-05,0,0,0.304256321883173,592.934548239294,926.81825219662,803.894827218896,897.164843875751,756.789674785001,930.718072717288,560.553458110972,882.689870205651,81.718741578025,190.519192099593,31.1784416736518,46.5714301255011,-278.191950367741,73.8629528398822,3.0050735667174,1.99394614516916,1.83026760182224,0.000134727188555713,0.000134727188555713,0.000134727188555713,0,0.00390708846811568,0,0.080583130625229,3.28303213072562,0.000171580678845618,0.252052147327738,"",NA,NA,"Marrupa","MZ0810","Niassa","MZ08","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,7421.17626953125,10.9053516592994,0.494766080138787,49046.161524158
"Massangena","MZ021301",14533.286,9.5842656889794,1875.73669789427,0.0022808888978328,0.695940347626409,0.001614002356042,0.000387124058790369,0.00179905844416687,0.00486659131301703,0,0,0.293111987303742,518.405636391894,881.967930333019,2000.24272715073,440.859553683799,758.857768474335,968.968519715012,1866.87885110172,3458.74092931043,942.922558643485,-704.036767814072,-568.953848675819,753.273664376276,-1051.99346667111,0.0750062476050847,2.82894736842105,1.97118796104774,1.24653557732438,0,0.000533123866010946,0.000533123866010946,0,0,0,0.0753004964762793,1.56791728993819,4.842539908998e-05,0.180722381103697,"",NA,NA,"Massangena","MZ0213","Gaza","MZ02","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,1877.16687011719,6.93961844272516,0.552385737149924,13863.2248452516
"Massangulo","MZ081702",108560.8,11.595074875064,1584.54004677263,0.000379366651965923,0.10919319151488,0,0.0104325516951874,0.0052810861392806,3.18585530220024e-06,0,4.37274257164739e-07,0.874710180869126,2724.09068265154,3087.95245907278,2043.10913481273,2970.7041155387,4846.11412840334,5120.28014969765,4348.51048777859,16553.4862258408,2560.38309706936,805.635984173912,3183.9303791913,-165.261779815041,3830.77356575703,0.54035018244562,3,2.0127628309379,1.88989252741793,0.000631097965644219,0,0.00189329389693266,0,0.00441768575950953,0,0.315888587559457,27.3309595981542,0.000850982625807685,0.915140383101548,"",NA,NA,"Ngauma","MZ0817","Niassa","MZ08","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,1583.05541992188,68.6781143692,0.886868241195711,107641.859038647
"Massinga","MZ030902",222653.08,12.3133746353069,2065.91041325672,0.00242684788748947,0.403861514290538,0.00193144326247143,0.00153699588297006,0.0229326973633636,0.00147230483244481,0,0,0.565838196480723,627.909137823026,840.500532700168,1677.57317705709,39.5970828532753,1377.84442132378,1871.01666265097,760.620328907308,1428.92708936318,361.152519836471,814.668040199115,-413.555208175237,-223.288734424199,466.467959042891,3.89958015473678,2.18333926664293,1.97974972336946,1.69917599272183,0.00242024047505427,0,0.0101650099952279,0.000484048095010854,0.0154895390403473,0,0.913039545121097,55.5169281610798,0.0018829310849292,0.367705949656751,"",NA,NA,"Massinga","MZ0309","Inhambane","MZ03","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,2064.744140625,78.8180359957445,0.825554314274632,229781.485617944
