"","value","train$pop_density","ci_lower_bd","ci_upper_bd","observed","predicted","residual","model"
"44",0.981160711772973,1.00574879248409,0.129719639588983,1.75418822854495,2.73395367052704,2.66755070319939,0.0664029673276532,"BART"
"45",4.16775332881693,4.33344662534491,3.09855926525805,5.08591641285595,76.2064896704407,64.5702209704476,11.6362686999932,"BART"
"46",3.91370228589928,3.88824432585563,3.31144782330942,4.50952969459469,48.8250902820438,50.0840345626086,-1.25894428056483,"BART"
"47",4.71393738500562,4.57353062958792,3.58310097242158,5.83662471167557,96.8855736999645,111.490276966717,-14.6047032667521,"BART"
"48",3.87227984992241,4.04445414748993,2.78641721748204,4.9523453573284,57.0800202566277,48.0518122161919,9.02820804043586,"BART"
"49",3.36976949837946,3.50284541091656,2.51303764695344,4.24309327364555,33.209813211807,29.0718251826134,4.13798802919352,"BART"
"50",3.9355369943578,3.96632940397733,2.99107905926581,4.81771914845092,52.7904025327704,51.1896311204717,1.60077141229866,"BART"
"51",4.37959383132244,4.44489998746661,3.18582162898715,5.39960486068668,85.1913572077876,79.8056122813054,5.38574492648223,"BART"
"52",3.10221183239807,3.18586614105836,2.22569095117068,4.04271362403349,24.1882297543744,22.247103767749,1.94112598662544,"BART"
"53",3.4509999976961,3.4393221232373,2.37590075331334,4.61167229846375,31.1658244179164,31.531908383858,-0.366083965941563,"BART"
"54",3.76064869803224,3.83260280111416,2.57782838873221,4.80462965645238,46.1825860225374,42.9762955766827,3.20629044585468,"BART"
"55",6.43421643678927,6.38700076624892,5.2200822357872,7.63341810328098,594.07214383118,622.794392850611,-28.7222490194313,"BART"
"56",3.68223346145705,3.81000279943101,2.53247955123074,4.67361266186075,45.1505652620344,39.7350417243508,5.4155235376836,"BART"
"57",1.352306546933,1.38821994175915,0.331464032150324,2.3458519458369,4.0077097430408,3.86633313267592,0.141376610364884,"BART"
"58",3.51490186174893,3.74251106061723,2.40607580774007,4.55506118087973,42.2038336041952,33.6126290774225,8.59120452677264,"BART"
"59",2.78096628098979,2.72839571630651,1.81932848912044,3.75176736725966,15.308308440066,16.1346039791245,-0.826295539058501,"BART"
"60",6.2822486692405,6.0027793727172,5.24503642625657,7.39385849824722,404.551632145442,534.990328541723,-130.438696396281,"BART"
"61",1.79356791142077,1.7786274530608,0.907028591926764,2.63226985467304,5.92172299534336,6.0108604704629,-0.0891374751195331,"BART"
"62",3.44279928992395,3.37468944634118,2.57685470544106,4.41806228220851,29.2152094820817,31.274381811042,-2.05917232896037,"BART"
"63",8.06929531551105,8.27731825242356,6.990707668931,9.12326116876448,3933.63121845515,3194.84967463117,738.78154382398,"BART"
"64",3.7940199815753,3.6974443359312,2.80111567867487,4.73741338781688,40.3440666143238,44.4346682666298,-4.09060165230602,"BART"
"65",4.35790885479783,4.43729375451951,3.079541900692,5.44730622609692,84.5458300270736,78.0936583775457,6.45217164952787,"BART"
"66",4.0754658366373,4.10470459630977,3.19962775783089,5.10221252454143,60.6248331027648,58.8779016847082,1.74693141805658,"BART"
"67",5.22916612761,5.27015445534889,4.2483024930827,6.19863629101337,194.445993349859,186.637107083163,7.80888626669528,"BART"
"68",4.33896482928382,4.43982677255092,3.40453114523738,5.21397942626424,84.7602575988148,76.6281750247558,8.13208257405897,"BART"
"69",4.05305938260076,4.0128374197996,3.15674987656613,4.97208461997334,55.3035675883768,57.5733267159882,-2.26975912761136,"BART"
"70",4.15125698805928,4.18771833959416,3.23088570210367,5.07646776055422,65.8723210982343,63.5137862135164,2.35853488471792,"BART"
"71",4.28269221974494,4.3782081149949,3.24221812041102,5.25903723954135,79.6951009277157,72.4351891824543,7.25991174526142,"BART"
"72",4.02177167743342,3.9836174624238,3.14387860814564,4.89355483992324,53.7109806733335,55.7998776891097,-2.08889701577624,"BART"
"73",3.39012995388501,3.29115198929005,2.52974720635929,4.2555810757282,26.8738041654907,29.6698077266294,-2.79600356113868,"BART"
