ADM3_PT,ADM3_PCODE,T_TL,log_population,district_area,Water,Trees,Flooded vegetation,Crops,Built Area,Bare ground,Snow/Ice,Clouds,Rangeland,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,ST_ATRAN,ST_DRAD,ST_TRAD,ST_URAD,ST_EMIS,ST_EMSD,NDVI,NDWI,NDBI,osm_traffic,osm_transport,osm_places,osm_pofw,osm_pois,osm_railways,osm_roads,building_count,building_area,DNB
Ilha Risunodo,MZ080501,29.801668,3.42756884435731,8.392086031337003,0.7805297761743134,5.933872920177541e-05,0.0002492226626474567,0.0,0.14028862357883742,0.0,0.0,0.0,0.07887303885499988,8744.796675191816,9036.995737425405,9789.961210571186,10091.986786018755,12735.917306052856,14164.514492753624,12230.07885763001,0.0,6828.560999246258,1244.662754387854,9401.497577258533,2641.63551200603,9798.937870141057,177.885215893184,3.8543563068920674,2.0051052967453735,2.9361702127659575,0,0,0,0,0,0.0,4.084563180418699,546,0.035484848462194,1.5571428571428574
Imala,MZ071701,19236.14,9.864598064521743,1219.1056620940885,0.0,0.3058265860345771,0.0,1.6330140467502817e-05,0.003141288456167114,0.0,0.0,0.0,0.6910157953687883,3617.584556412825,4001.385085073034,2457.4366548654157,3320.7899811702055,2654.3488198943614,2889.3323780125043,2647.847214511214,9135.159451778058,-880.0040980556734,1339.9903536476677,-851.4025566698683,387.37053830245657,1812.1825808322405,71.7490037878857,0.0,1.9986827325760117,1.5293575086773952,0,0,1,0,3,0.0,163.71162411384873,11290,0.45864171227001505,0.22968750000000004
Imbuo,MZ011202,23138.451,10.049294275314969,529.4718422969756,0.0,0.6481502651868211,0.0,0.0007522148810854495,0.022228571245616238,0.0,0.0,0.0,0.32886894868647726,677.1880104915848,724.0234122808657,1656.8689945791211,1121.8666317627121,5359.36832908083,6430.5520780035395,3035.4912856271067,16.74474753754695,368.41295978051903,885.9865901066978,1774.7160736838705,1825.88352821789,2533.2036607359887,28.16522606778549,0.0,1.2789891225451782,1.0586574186201103,1,0,10,0,6,0.0,388.08742006106013,11695,0.5732508253252734,0.24418052256532063
Impiri,MZ010202,12824.6,9.459198452570382,771.043986142754,0.00039949794284250623,0.3921520620195507,2.6718833476283373e-05,0.00010854526099740121,0.0018850907753098967,0.0,0.0,0.0,0.6054280851678232,4587.327677609263,4906.841414618094,5635.219689079824,2509.894303232152,5477.481066523465,3751.577767110012,5785.869586560784,6744.619142774266,-3008.292631247628,964.7907603505893,815.4371915478896,1984.011427021081,-885.8665345540626,79.87579091211832,3.7557251908396947,2.1564073259649326,1.8589923664122137,0,0,3,0,1,0.0,247.0459619279721,4120,0.16956505503433897,0.2203668734826005
Inchope,MZ040304,77069.2,11.252471973812138,1016.8162217163518,0.00015354426817303313,0.2665789909459415,0.0,3.2360912216215206e-05,0.007357588663068677,0.0,0.0,0.0,0.7258775152106005,3301.1269568195403,3506.0253989556318,4400.849454850964,4401.482939076838,3529.2982931695997,3663.2419233548,4753.19687533082,1532.9706873148896,1018.7526362133101,1156.667390052101,-1085.1598453736767,906.448656709788,491.37821111180506,57.52699836497994,3.0,1.831790383804302,1.2794879500632756,51,1,6,0,18,19.824461135129585,4796.364282380807,16145,0.5293165233561756,0.18546534653465344
Inhaminga,MZ090401,56242.664,10.937448673722304,5400.7853005507095,0.00201552916373447,0.6870369620614726,0.0028902906369472057,0.0001380708572796719,0.0014850802813238784,0.0001897968432469564,0.0,1.2876312296265699e-07,0.30624414139287226,3745.1303683317865,3934.5677276072834,4436.242315594099,4590.5321283881085,8100.096408845083,4854.648010496336,8462.838087618804,961.623498100131,34.01804426773593,-99.48245663329439,-501.88477163687526,-80.57505142457154,737.9902108371991,41.07281273420785,2.7661406025824964,2.0448440948997595,1.8157829018563223,3,6,1,0,2,65.82985719836849,387.3704142151681,7363,0.3186506407,0.22559275542028334
Inhamitanga,MZ090402,10911.853,9.297696547849178,1707.01085220288,0.0009132705669360117,0.8151638735507066,0.004252419723610512,9.9179760047989e-06,0.00036463147076466545,0.0,0.0,0.0,0.17929588671197744,2000.1086465934784,2192.7411557809496,3154.405951845382,2783.1108653166393,2224.615629217619,2012.524746285574,2204.726240381638,2324.8535662578574,79.00901970539527,1141.4597651368217,416.5029155554322,-409.16738337365325,178.95612909648196,36.14573225844008,3.0,1.5808347897469455,1.1224292699587977,10,2,2,0,0,82.10802439977975,221.29795783935862,2628,0.0811559621,0.21654950554033126
Inhangoma,MZ101302,45978.402,10.735948792577966,775.0108703608429,0.04217270611787894,0.0479336614914684,0.10674607474369095,0.03647457032439154,0.0054312493227868675,0.0008134297168862127,0.0,0.0,0.7604283082828971,3856.1784559141943,4155.680811973943,82.98144566472166,333.4112430214059,810.3927330409804,1645.8867947432495,4075.6176833460368,1114.50507713939,687.2105719015798,1605.973144156587,982.9277019768691,-1394.9528499746555,-1828.808487492244,38.710866943984186,3.0030620544471556,1.914878366897608,1.4995997389894586,0,0,1,0,0,0.0,219.40052390520523,17188,0.6471584991999999,0.988309636650869
Inharrime,MZ030501,102421.75,11.536864134880647,1110.3371258681832,0.10180837542115846,0.31550289066580584,0.010395278093483168,0.006125476640416417,0.04595259711583511,0.0033330419129729135,0.0,0.0,0.5168823401503281,1016.0892242010688,1291.9818406400336,2142.2704285599075,2291.5837443815185,1151.7228226789973,3308.8749763410706,883.9029704094681,4124.188749159911,946.8215387807177,750.5272989984431,1632.7412320896779,1509.0986290874578,-1815.9352064390714,7.896144004712252,3.84032184950136,1.9889807361656107,1.9502512235506795,1,0,6,2,36,0.0,709.5196036855099,29759,1.1941015131000001,0.36140289037715906
Inhassoro,MZ030602,60547.008,11.011191850009025,4645.229437665338,0.0017372585578206855,0.7776407576383539,0.004426614216631901,1.0544848551132567e-05,0.005529630531776713,0.00020529960608596667,1.2159069899914293e-06,3.7085163194738594e-05,0.21041159353059496,355.50681229107585,591.5304847054565,813.4861364428434,463.53808866387914,520.762433787887,1061.9639545795715,952.6928506811432,1615.146992662869,127.18973397711342,-134.73984876980157,197.68669705662967,425.94630483789945,-160.991212515994,67.3661232848841,3.6635220125786163,1.9814624107717564,1.7261699223042937,5,5,22,5,45,0.0,1242.6093784169836,17065,0.6862900057000001,0.24712781954887225
