ADM2_PT,ADM2_PCODE,T_TL,log_population,district_area,Water,Trees,Flooded vegetation,Crops,Built Area,Bare ground,Snow/Ice,Clouds,Rangeland,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,ST_ATRAN,ST_DRAD,ST_TRAD,ST_URAD,ST_EMIS,ST_EMSD,NDVI,NDWI,NDBI,osm_traffic,osm_transport,osm_places,osm_pofw,osm_pois,osm_railways,osm_roads,building_count,building_area,DNB
Ilha De Moçambique,MZ0704,82758.0,11.32368804865453,181.20704196677136,0.0799525918912154,0.0542750093790091,0.0423600030186564,0.026003879733685,0.0453493416234182,0.0070552951632544,0.0,0.0,0.7450038791907612,9225.90599203233,9615.830337476777,10683.026129551245,11382.216980138284,15765.374226695523,17726.419140602557,14906.423502710157,50174.615628648295,6307.648281733675,1420.0362716836555,10842.98749762862,3094.6043522318723,9692.771069502627,66.80690628833291,2.795498721227621,1.88906998320002,1.8986806252688944,2,1,3,6,98,0.0,111.95208817812888,17688,1.2745994987,1.8682983682983685
Ilha Licom,MZ0804,,,29.354466668177302,0.4377589489007502,0.0048082632905894,0.0,0.0,0.3554857296039036,7.12586655627229e-05,0.0,0.0,0.2018757995391939,9656.70691629956,9895.666431718062,10650.2181938326,11392.076960352422,14898.542907488987,16931.854889867842,14066.209823788546,0.0,6871.672106552358,1228.9777709736682,10037.993263931414,2602.063502755665,9880.0,0.0,3.15305873750914,1.885876316500135,3.347910592808552,2,3,3,1,16,0.0,52.62632887427674,4086,0.3066287612,0.5007142857142858
Ilha Risunodo,MZ0805,,,8.392086031337003,0.7805297761743134,5.933872920177541e-05,0.0002492226626474,0.0,0.1402886235788374,0.0,0.0,0.0,0.0788730388549998,8744.796675191816,9036.995737425405,9789.961210571186,10091.986786018757,12735.917306052856,14164.514492753624,12230.07885763001,0.0,6828.560999246258,1244.662754387854,9401.497577258531,2641.63551200603,9798.937870141055,177.885215893184,3.854356306892067,2.005105296745373,2.936170212765957,0,0,0,0,0,0.0,4.084563180418699,546,0.035484848462199,1.5571428571428574
Inharrime,MZ0305,126595.0,11.748756192616442,2747.481760435406,0.0531779019171119,0.4774766408083568,0.0092933658896037,0.0076402098433505,0.0256304565812641,0.0013751609835903,0.0,2.372466007089725e-05,0.4253825393166515,8158.007619076862,8438.516628122336,9327.73267968474,9428.298256642442,15899.31859855881,14415.167613829064,11630.71569970872,44580.279177666445,7737.18796144338,842.8675611215291,8957.503020608814,1729.8323694548094,9778.340991262794,51.34180646340536,3.8418760002783374,1.9842905587089887,1.8140808995956448,1,0,6,2,36,0.0,851.4570994969819,40875,1.5247368588,0.343223651481771
Inhassoro,MZ0306,64833.0,11.07958543609601,4745.521947112212,0.002916359025091,0.7621772246546591,0.0061881488574592,1.032226882565846e-05,0.0057077221467684,0.0052177735022105,1.2518059609645448e-06,3.63023728679718e-05,0.217744895366157,8380.41648647355,8621.278683108469,9472.338014330451,9750.488187167595,15332.854825412813,15884.92453349926,12706.594208773262,45866.942874813714,7262.358271334706,1053.1130545585652,9713.987070900585,2206.919555407805,9705.416280910991,66.91044615213958,3.2301541976013706,1.9761167766152927,1.7241798041414034,6,11,22,5,54,0.0,1325.5891574092566,18336,0.7533424106000001,0.2468419945297707
Inhassunge,MZ1108,113913.0,11.64319905671944,754.8264515045328,0.0651583404503218,0.1573183240139075,0.1882752433904435,0.0560827936833888,0.0399149500067868,0.002370921067712,0.0,0.0,0.4908794273874393,8563.61610976534,8763.868264300409,9569.195074909789,9555.029387001849,14507.330590438762,13713.859317303668,11486.759362713332,46360.36972408402,6922.110327336696,1199.8975810539105,9825.52458733084,2546.959657793157,9723.138416917256,65.88868885026073,3.3100380668652765,2.072282505170923,1.9587357721613603,0,1,3,0,10,0.0,163.2465261003892,18143,0.7720207989,0.2565299514301133
Jangamo,MZ0307,117471.0,11.67395528629656,1293.3118166686927,0.0152767873129713,0.2221376780606183,0.0140871014921681,0.0012594456500939,0.0219332748386525,0.0022726167981053,0.0,0.0,0.7230330958473904,8464.87473229574,8795.795125099032,9790.452939635565,10279.034152418924,16129.484285951596,16030.93031958394,13269.49929655754,44003.838857694114,7846.950790608075,793.5384345739053,8830.683692978162,1607.2268550946617,9686.49593901438,0.0,3.575548984439381,1.9413758717372585,1.8706189332229304,3,1,8,3,21,0.0,582.2768390579935,37065,1.4831530124,4.903738601823709
Lago,MZ0806,140161.0,11.850554175474803,6557.12419114322,0.0075772272478506,0.5699596046887666,0.0003000201192462,0.0059306309702588,0.0036763432807645,2.6399584444126083e-05,0.0,0.0,0.412529774108669,8422.989940726855,8718.06838830039,9497.25022300507,9915.4800632052,14691.557373947917,15202.885181030142,12248.685106820843,47156.16580910167,7345.096436744681,1016.6418339366334,10030.343868233169,2114.087883343696,9723.419181271607,9.87425300503156,3.467159978496664,2.011937815645469,1.9680230439646489,3,8,5,1,34,0.0,929.45154396753,31448,1.4754841001,0.817855889764282
Lago Niassa,MZ0807,,,6933.0252203663495,0.9971008703141044,0.0006684351989369,0.0001770636072033,7.028610460924798e-06,0.0004010754634651,1.883380721468217e-05,0.0,0.0,0.0016266929986146,7642.789731510457,7822.030400834699,7915.570018400464,7522.28126311092,7509.987309012542,7595.964797131351,7540.569144731983,43779.21367166231,6937.3306852251135,1173.853113468981,8981.242198295015,2488.862432437092,9892.110103822566,26.15903498535277,3.936730385117626,2.1003306431542645,3.695090708689565,0,2,1,1,4,0.0,16.620816720718395,1691,0.0932524461,0.1120570154291224
Lalaua,MZ0705,125645.0,11.741223708004208,4528.907486674673,0.0024910287910806,0.3306707204151495,4.646117589622063e-05,0.0123686225341231,0.0041691176352123,0.0002425822032969,0.0,0.0,0.6500114672452412,8730.942297248037,9040.593365068522,9886.4364560316,10564.151978204236,14320.574881362449,16352.29733905118,14367.73208906623,51585.82313312352,6174.983690328449,1467.497300463884,11394.731607899968,3190.9862098748376,9682.433630047128,80.91969861596432,2.98159509202454,2.00983649182522,1.7325502041134668,0,0,1,0,3,0.0,888.4672394242792,42586,1.6912354516481931,0.2553504523439642
