ADM_PCODE,district_area,Water,Trees,Flooded vegetation,Crops,Built Area,Bare ground,Snow/Ice,Clouds,Rangeland,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,ST_ATRAN,ST_DRAD,ST_TRAD,ST_URAD,ST_EMIS,ST_EMSD,NDVI,NDWI,NDBI,osm_traffic,osm_transport,osm_places,osm_pofw,osm_pois,osm_railways,osm_roads,building_count,building_area,DNB
MZ020101,-0.9502374586478785,-0.43718089811835786,-0.9838755366765113,-0.3644698085633039,0.9036013377362059,3.1799905605911993,-0.18074138264073455,-0.11793577432708453,-0.14639842437728365,-0.6335061137953927,1.2090403586525718,1.250733119516831,1.3810467434441174,1.4348651498851543,1.63828884508531,1.6465511087064935,1.6248225976723902,-0.8933036718033729,0.8861474558277641,1.3458102850770306,1.4960083013695535,1.848921281215379,-0.7139944801419364,-1.3065135749374284,-2.8476871827183556,-1.6397018586137848,-1.6550978895815613,0.07010143907721639,-0.10784758552778456,0.11378875710510666,-0.1317353330083976,0.026635457228287272,-0.3415993122633516,1.5557089213952302,1.717157265709902,1.2905455033749977,0.2344739844110233
MZ010602,-0.49378569998885136,-0.4392153062837165,1.2765676729137514,-0.3644698085633039,-0.3988246995276206,-0.2133873604251954,-0.1741841319989126,-0.11793577432708453,-0.14639842437728365,-1.0573506902672343,-0.6234885633880363,-0.6111463013756034,-0.8519722369877698,-0.5243698017655086,-0.6271019195999278,-0.6860680143253096,-0.614964644274391,-0.596232003818149,-0.6674733080192355,0.5703956673178969,-0.45597437031441745,-1.0948272333811406,-0.8527584185878225,-0.9449298985783495,0.2559743008799515,-3.0677824350442457,-1.625597439044799,-0.1001023107899789,-0.10126867537867182,0.48197422576339055,-0.1317353330083976,-0.09867884736000887,-0.3415993122633516,0.031255615155272747,-0.27017035315869464,-0.23188035121284384,-0.41016442204014375
MZ040701,1.0014644343690884,-0.44201131302945396,0.6490567551428502,-0.36446818041134654,-0.39992101585177375,-0.3166770249168842,-0.1713332241947381,-0.11793577432708453,-0.14639842437728365,-0.30638400418705025,-1.0714020391033852,-0.9799310462210404,-0.9548605314987039,-0.8936471075307761,-0.8732072856927815,-0.8263278180482073,-0.8544300569873742,-0.7772629503303843,-0.7803156512705502,-0.38302664093135513,-0.5659044330336993,-0.5455740127672747,-0.6242209990284776,-1.0149424170263468,-0.18018319136050628,0.4585755299628625,0.13242352551371972,-0.10497667662087552,-0.10784758552778456,-0.32088432005318007,-0.1317353330083976,-0.14320286050047265,-0.3415993122633516,-0.47250862093058843,-0.3279970915211515,-0.2894828802500535,-0.02478779765309142
MZ021103,-0.6060776519303632,-0.3243143275058544,0.7428986121287169,-0.013290202025167874,-0.3943352222262989,-0.26981570441985203,-0.18073249852912351,-0.11793577432708453,0.5707501964133886,-0.5114842697091456,-0.909221041183473,-0.7999763464329058,-0.5037749903397453,-0.4267322079173189,-0.6518912564091406,-0.6883908067066172,-0.6271013263287564,-0.7158820014067196,-0.8970558535298347,0.8874244806586921,-0.595996435653184,-0.8333167865650504,-0.8550080339938034,0.23966038057599878,0.9842750762134168,-0.059542904165796016,-0.5127067311985996,-0.09843808220363555,-0.10784758552778456,-0.327746879881328,-0.1317353330083976,-0.14399848299983894,-0.3415993122633516,-0.4810661681744513,-0.29669691771714035,-0.2739646610157213,-0.34261169700869953
MZ112001,-0.7528978494216221,0.8008134367766669,-1.1579581742196268,2.223981677074927,-0.32876111217332016,0.10185437490247504,-0.10291286534835359,-0.11793577432708453,-0.14639842437728365,0.8505408704628147,-0.43697283285742544,-0.39674576437935477,-0.18323551918377243,-0.23237566332038492,-0.2564346717577747,-0.49759599192743303,-0.012081460410131235,-0.7319813427518977,-0.1359736519038256,0.5156519606695812,-0.7564538808606243,0.9089138769101687,0.12061754966241289,-0.45243419270472146,0.46651731467603036,0.26660182117346054,-0.0316856021280307,-0.10565961739874631,-0.10784758552778456,-0.2681152313689224,-0.1317353330083976,-0.04260053886867143,-0.3415993122633516,-0.29059057037032426,-0.11773592729717039,-0.1375411507405422,0.03727051804674785
MZ020602,-0.8873424991909636,-0.44125885334203635,-0.0011530645395853353,0.325366121815321,-0.3855294445410451,-0.15492934853090481,-0.18059962153654188,-0.11793577432708453,-0.078283392034291,0.2216622752568775,1.1510015791322028,1.172790415501151,1.234502654892644,1.234909657450999,-0.2865395661481589,-0.39610614759728346,1.256884855710927,-0.2843001561253006,1.2660451687652619,0.7378331368492707,-0.9089016196035389,1.1649198468260895,-1.095087531437116,0.047525215872649906,-2.8476871827183556,-0.19519528498568792,-0.8492565400293056,-0.10565961739874631,-0.10784758552778456,-0.327746879881328,-0.1317353330083976,-0.14399848299983894,-0.3415993122633516,-0.17724885242873595,-0.16957167262534878,-0.20444687351103336,2.205749201926449
MZ090702,-0.7122766766310541,0.08733947992835409,-1.1276858136474626,0.38278356374094086,1.6228679222196343,-0.07679773918462131,-0.18016274667536994,-0.11793577432708453,-0.14639842437728365,0.7587700555972675,-0.40580589247254617,-0.3573614420321633,-0.16852719841816224,-0.2005659058214949,-0.3919917444479709,-0.4211589579669336,0.21184856351602044,1.2653105812657195,-0.448742907563162,0.6223191598780214,-0.39230403990431073,1.0191667797506576,1.3035826827446617,-1.3065135749374284,-0.5158162984082274,-0.25433998444591865,-0.6889473777107755,0.08576417234325241,-0.10188407610167986,0.43154135614539807,-0.1317353330083976,-0.09704948676791422,1.1653142895346356,1.8781807974680071,-0.13978604593156754,-0.1356879529206546,-0.0480272068061353
MZ111101,-0.43361691909931893,-0.15501316664907488,-0.07708699885473284,0.4030304478331234,-0.1256850650716122,-0.2507807571781468,-0.16791045128606003,-0.11793577432708453,-0.12650644971607544,0.21910795138417558,-1.1380351511176428,-1.0688693008176564,-0.8231161681868473,-0.7794518191958545,-0.885787535873984,-0.6211913295459898,-0.8296078276416682,-0.8012637693461931,-0.6020887240489446,-1.191635144392707,-0.628991106341502,-0.5407907706243451,-0.6885880730371442,3.0413692859993464,0.36167039718703264,0.6294556103407642,0.5672726069424833,-0.10565961739874631,-0.10784758552778456,-0.25318920825226215,-0.1317353330083976,-0.14207760078504078,-0.3415993122633516,-0.3745190040692636,-0.19535506241028142,-0.18446331022273657,-0.39390280581100934
MZ050301,-0.344332879459857,-0.16178621537879578,0.34749882981430286,-0.28477705228927214,0.6673161942537297,-0.17730310383201833,-0.1727068566296732,-0.11793577432708453,-0.14639842437728365,-0.40858198328481926,-0.8993999253258959,-0.8076649398736868,-0.7562766316489226,-0.7768460374016498,-0.7781731380565494,-0.8076264201178995,-0.6753438699893765,-0.8041211242989996,-0.6000390335653565,-1.2698195123852156,-0.7050581819863467,-0.5360517872890919,-0.5682152737340583,-0.29687805008986157,0.3738849258213171,-0.5627997385117804,-1.1154626669003742,-0.10140674293673335,-0.1028129021945133,-0.30637928375669904,-0.1317353330083976,-0.14234695736316164,0.6677037874657685,-0.24010944366908635,-0.2225224439475148,-0.22502885529610742,-0.4441136825158883
MZ011802,-0.6714906969301204,-0.08545343716100044,-0.017164980916284586,0.06274313886408735,-0.3941672369098094,-0.30609425088606457,0.6833306371824932,-0.11793577432708453,-0.14639842437728365,0.25689412286750557,-0.22512778765004146,-0.21301905339468033,-1.0802501550037453,-0.18961819523316645,-0.6298974194537563,-1.0109284228780704,-0.899855941038251,-0.8242195492477661,-0.3438340313115736,1.1286103872192277,-0.5550905281285298,-1.1417684567622417,-0.5830826107488863,0.660909091354925,0.17705347455577858,-3.9460292045419854,-1.402696020026774,-0.10565961739874631,-0.10784758552778456,0.1557019795124471,-0.1317353330083976,-0.1406015458778772,-0.3415993122633516,-0.3115111595391177,-0.296224592683211,-0.26003090363032744,0.2945404151315483
MZ050302,-0.675051439619828,-0.44110393680347293,1.2104310239847271,-0.3607622564333445,-0.3740679630951956,-0.31045637064206516,-0.18074138264073455,-0.11793577432708453,-0.14639842437728365,-0.9418046981634323,0.24798533529346692,0.28583766625238977,-1.0577387840878303,-1.0722658962956082,-0.34098790077090185,-0.6071946859192251,-0.607591353485471,-0.744251993013107,-0.7269978765229691,1.0870753301617506,-0.37720226628094244,-0.31670860181244986,-0.5766013651373673,-1.3023118206001205,1.2423286458666887,0.6116301441842297,-0.16638978923869086,-0.10565961739874631,-0.10784758552778456,-0.327746879881328,-0.1317353330083976,-0.14228025030542127,-0.3415993122633516,-0.46210046214471173,-0.32460705603866696,-0.28784782466503245,-0.4623079916468115
MZ081101,-0.30462299450188524,-0.39674957319366283,1.7362302559251213,-0.3644698085633039,-0.3486696658779605,-0.31996263550426707,-0.17073051694306726,-0.11793577432708453,-0.14639842437728365,-1.5365882818807604,-1.10813314381519,-1.0193659768801155,-0.7760171308321089,-1.099012096464038,-0.9139569831251745,-0.9031452437927096,-1.0656217921548325,-0.8786634256032674,-0.6591384971093337,-1.8687641371665547,-0.45284687628085135,-1.157739158398294,-0.73921272708147,-0.23378831419526763,0.31780862520792313,0.672565621615572,0.5255562850452364,-0.10565961739874631,-0.10784758552778456,-0.327746879881328,-0.1317353330083976,-0.14322119683018408,-0.3415993122633516,-0.4565474471079087,-0.3131244698172238,-0.28142361805754845,-0.36641382561169267
MZ111301,-0.7496372446013339,-0.22454552192402452,-1.6664933505501545,-0.3643149252779615,8.149119039069488,-0.24258029250383503,-0.13303386978619325,-0.11793577432708453,-0.14639842437728365,-0.27441303743591483,1.365353683893766,1.3416141916707534,1.281392156309854,1.3443925311288174,-0.8444286475892553,-0.36369325383949647,-0.6518098836867324,-0.6275798707644838,-0.18002724977769405,0.2574144927946357,-0.7493079479498012,0.6169190456975258,-1.2844537173207289,-0.021267367206385605,0.28056749805584935,0.6982173858011504,1.0908123134785537,-0.058853674880003426,-0.10784758552778456,0.1425846499610626,-0.1317353330083976,-0.13036631232756624,-0.27012797594567967,1.3486474886883733,0.017322768824634162,-0.08490211906026779,-0.27842023011861117
MZ020102,-0.7902994293022422,-0.40659729219908486,0.1375960623222631,0.10052300849128211,-0.38524119106461396,-0.1868174605577071,-0.17888448508934127,-0.11793577432708453,-0.014264627772774175,0.11322006773022525,-0.1668523870630313,-0.1057105303927845,0.11136066232655613,0.0390807513329788,-0.4002391465672765,-0.11791682026386999,-0.5581571329722381,1.2794279668382997,-1.5394581299724308,1.2185824495677011,-0.27475608245787386,-0.9017444941379189,1.3035826827446617,-1.3065135749374284,-2.8476871827183556,-0.7736214795306966,-1.1613353482163102,-0.10565961739874631,-0.10784758552778456,-0.327746879881328,-0.1317353330083976,-0.14399848299983894,-0.3415993122633516,-0.3647631696675272,-0.29298344133569265,-0.2694155526831693,-0.43318085217464225
